encoding_method,predicate,arity,num_facts,num_queries,mean,std,ci_95_lower,ci_95_upper
role_filler,parent,2,99,99,0.30730264867194973,0.03452148195355775,0.3005023512907354,0.3141029460531641
shift,parent,2,99,99,0.7073757786943455,0.0029364129617252296,0.7067973423050663,0.7079542150836248
hybrid,parent,2,99,99,0.707375786521218,0.002936406208395058,0.7067973514622599,0.7079542215801762
hybrid_cancel,parent,2,99,99,0.9236580344161602,0.0023787678309558713,0.923189447097889,0.9241266217344315
role_filler,teaches,3,171,100,0.21571867987513543,0.025165959084761356,0.2107861518945222,0.22065120785574865
shift,teaches,3,171,100,0.5769438010454178,0.003874296181737397,0.5761844389937972,0.5777031630970383
hybrid,teaches,3,171,100,0.5769438064098358,0.0038743017362724776,0.5761844432695263,0.5777031695501452
hybrid_cancel,teaches,3,171,100,0.6956170111894607,0.006560674446654341,0.6943311189979164,0.696902903381005
role_filler,transaction,4,170,100,0.17787496477365494,0.02279054433412861,0.17340801808416573,0.18234191146314416
shift,transaction,4,170,100,0.49978837490081784,0.005525643624020193,0.49870534875050987,0.5008714010511258
hybrid,transaction,4,170,100,0.4997883689403534,0.0055256363623635415,0.4987053442133301,0.5008713936673767
hybrid_cancel,transaction,4,170,100,0.500392527282238,0.009117601038223412,0.49860547747874623,0.5021795770857298
